UTC, Name, Number, AppMag, ET, Range, IlluminationRange, Elements Epoch ET, SMA, ECC, INC, ArgOfPeri, RAAN, Mean Anomaly
2020 JUL 11 00:00:11.000, 1990 MF, 8014, 5.87041438751, 647697679.184, 0.0751013089979, 1.02326671125,540475200.0, 261262628.201, 0.45613398, 0.03257307983, 1.9966774337, 3.6696924588, 3.07523855679
2020 JUL 11 00:00:11.000, YORP, 54509, 8.71172345563, 647697679.184, 0.0638383179157, 0.954799761558,96033600.0, 149604138.851, 0.22991528, 0.03199432865, 4.78403055739, 4.91985417417, 4.4161400831
2020 JUL 11 00:00:11.000, 1999 JD6, 85989, 8.88315822623, 647697679.184, 0.183749298083, 1.05212781712,540475200.0, 132102115.486, 0.63282101, 0.29768929134, 5.39634529153, 2.27252253319, 4.41462138485
2020 JUL 11 00:00:11.000, 2002 AV4, 99935, 9.39384827197, 647697679.184, 0.370241030455, 0.720630112222,540475200.0, 247446471.973, 0.64517758, 0.222928461896, 5.63698203855, 0.28569835578, 2.33802295454
2020 JUL 11 00:00:11.000, 2004 EW9, 144411, 9.01386075043, 647697679.184, 0.244845449192, 0.895744768829,540475200.0, 286873619.107, 0.53343511, 0.153323684129, 0.141824931418, 5.04183069774, 4.54840298212
2020 JUL 11 00:00:11.000, 2004 QY2, 242450, 5.4320033983, 647697679.184, 0.167928459979, 0.932970127243,540475200.0, 162158766.155, 0.47728393, 0.646237128016, 1.83190997473, 5.15418365034, 5.39854212699
2020 JUL 11 00:00:11.000, 2004 XY60, 289227, 8.27599618439, 647697679.184, 0.887566080279, 0.134589152,540475200.0, 95783776.6624, 0.79667962, 0.414783954455, 2.28353835329, 2.1402627042, 2.34124781511
2020 JUL 11 00:00:11.000, 2011 XZ1, 420302, 9.82927408365, 647697679.184, 0.184726080062, 1.16734975899,540475200.0, 320026691.383, 0.46086196, 0.116323053053, 0.632841726007, 4.77734105943, 5.65223875567
2020 JUL 11 00:00:11.000, 2003 QH5, 480936, 8.19176195369, 647697679.184, 0.0895204941476, 1.01170809518,540475200.0, 188519960.463, 0.22044408, 0.307401175962, 5.60524182984, 5.2231087969, 4.12405351508
